Date,Open,High,Low,Close,Adj Close,Volume,All Items,realtime_start,realtime_end,value,DEXUSEU
2020-12-11,3656.080078125,3665.909912109375,3633.39990234375,3663.4599609375,3663.4599609375,4375470000.0,0.014,2024-07-18,2024-07-18,17763.4,1.2112
2020-12-14,3675.27001953125,3697.610107421875,3645.840087890625,3647.489990234375,3647.489990234375,4623850000.0,0.014,2024-07-18,2024-07-18,17838.4,1.2145
2020-12-15,3666.409912109375,3695.2900390625,3659.6201171875,3694.6201171875,3694.6201171875,4387080000.0,0.014,2024-07-18,2024-07-18,17838.4,1.2158
2020-12-16,3696.25,3711.27001953125,3688.570068359375,3701.169921875,3701.169921875,4067040000.0,0.014,2024-07-18,2024-07-18,17838.4,1.2175
2020-12-17,3713.64990234375,3725.1201171875,3710.8701171875,3722.47998046875,3722.47998046875,4192810000.0,0.014,2024-07-18,2024-07-18,17838.4,1.2258
2020-12-18,3722.389892578125,3726.699951171875,3685.840087890625,3709.409912109375,3709.409912109375,7097100000.0,0.014,2024-07-18,2024-07-18,17838.4,1.2236
2020-12-21,3684.280029296875,3702.89990234375,3636.47998046875,3694.919921875,3694.919921875,4748580000.0,0.014,2024-07-18,2024-07-18,17747.1,1.223
2020-12-22,3698.080078125,3698.260009765625,3676.159912109375,3687.260009765625,3687.260009765625,4053310000.0,0.014,2024-07-18,2024-07-18,17747.1,1.2172
2020-12-23,3693.419921875,3711.239990234375,3689.280029296875,3690.010009765625,3690.010009765625,3779160000.0,0.014,2024-07-18,2024-07-18,17747.1,1.2194
2020-12-24,3694.030029296875,3703.820068359375,3689.320068359375,3703.06005859375,3703.06005859375,1883780000.0,0.014,2024-07-18,2024-07-18,17747.1,.
2020-12-25,3694.030029296875,3703.820068359375,3689.320068359375,3703.06005859375,3703.06005859375,1883780000.0,0.014,2024-07-18,2024-07-18,17747.1,.
2020-12-28,3723.030029296875,3740.510009765625,3723.030029296875,3735.360107421875,3735.360107421875,3535460000.0,0.014,2024-07-18,2024-07-18,17644.3,1.2213
2020-12-29,3750.010009765625,3756.1201171875,3723.31005859375,3727.0400390625,3727.0400390625,3393290000.0,0.014,2024-07-18,2024-07-18,17644.3,1.2252
2020-12-30,3736.18994140625,3744.6298828125,3730.2099609375,3732.0400390625,3732.0400390625,3154850000.0,0.014,2024-07-18,2024-07-18,17644.3,1.228
2020-12-31,3733.27001953125,3760.199951171875,3726.8798828125,3756.070068359375,3756.070068359375,3179040000.0,0.014,2024-07-18,2024-07-18,17644.3,1.223
2021-01-01,3733.27001953125,3760.199951171875,3726.8798828125,3756.070068359375,3756.070068359375,3179040000.0,0.014,2024-07-18,2024-07-18,17644.3,.
2021-01-02,3733.27001953125,3760.199951171875,3726.8798828125,3756.070068359375,3756.070068359375,3179040000.0,0.017,2024-07-18,2024-07-18,17644.3,.
2021-01-03,3733.27001953125,3760.199951171875,3726.8798828125,3756.070068359375,3756.070068359375,3179040000.0,0.026,2024-07-18,2024-07-18,17644.3,.
2021-01-04,3764.610107421875,3769.989990234375,3662.7099609375,3700.64990234375,3700.64990234375,5015000000.0,0.042,2024-07-18,2024-07-18,17757.1,1.2254
2021-01-05,3698.02001953125,3737.830078125,3695.070068359375,3726.860107421875,3726.860107421875,4591020000.0,0.05,2024-07-18,2024-07-18,17757.1,1.2295
2021-01-06,3712.199951171875,3783.0400390625,3705.340087890625,3748.139892578125,3748.139892578125,6064110000.0,0.054,2024-07-18,2024-07-18,17757.1,1.229
2021-01-07,3764.7099609375,3811.550048828125,3764.7099609375,3803.7900390625,3803.7900390625,5099160000.0,0.054,2024-07-18,2024-07-18,17757.1,1.2265
2021-01-08,3815.050048828125,3826.68994140625,3783.60009765625,3824.679931640625,3824.679931640625,4773040000.0,0.053,2024-07-18,2024-07-18,17757.1,1.2252
2021-01-09,3815.050048828125,3826.68994140625,3783.60009765625,3824.679931640625,3824.679931640625,4773040000.0,0.054,2024-07-18,2024-07-18,17757.1,1.2252
2021-01-10,3815.050048828125,3826.68994140625,3783.60009765625,3824.679931640625,3824.679931640625,4773040000.0,0.062,2024-07-18,2024-07-18,17757.1,1.2252
2021-01-11,3803.139892578125,3817.860107421875,3789.02001953125,3799.610107421875,3799.610107421875,4465430000.0,0.068,2024-07-18,2024-07-18,18127.3,1.2169
2021-01-12,3801.6201171875,3810.780029296875,3776.510009765625,3801.18994140625,3801.18994140625,4994950000.0,0.07,2024-07-18,2024-07-18,18127.3,1.2168
2021-01-13,3802.22998046875,3820.9599609375,3791.5,3809.840087890625,3809.840087890625,4602510000.0,0.07,2024-07-18,2024-07-18,18127.3,1.2159
2021-01-14,3814.97998046875,3823.60009765625,3792.860107421875,3795.5400390625,3795.5400390625,5198480000.0,0.07,2024-07-18,2024-07-18,18127.3,1.2156
2021-01-15,3788.72998046875,3788.72998046875,3749.6201171875,3768.25,3768.25,5369820000.0,0.07,2024-07-18,2024-07-18,18127.3,1.2099
2021-01-18,3788.72998046875,3788.72998046875,3749.6201171875,3768.25,3768.25,5369820000.0,0.07,2024-07-18,2024-07-18,18134.6,.
2021-01-19,3781.8798828125,3804.530029296875,3780.3701171875,3798.909912109375,3798.909912109375,5014440000.0,0.07,2024-07-18,2024-07-18,18134.6,1.2126
2021-01-20,3816.219970703125,3859.75,3816.219970703125,3851.85009765625,3851.85009765625,4566190000.0,0.07,2024-07-18,2024-07-18,18134.6,.
2021-01-21,3857.4599609375,3861.449951171875,3845.050048828125,3853.070068359375,3853.070068359375,4501760000.0,0.07,2024-07-18,2024-07-18,18134.6,1.2143
2021-01-22,3844.239990234375,3852.31005859375,3830.409912109375,3841.469970703125,3841.469970703125,5110890000.0,0.07,2024-07-18,2024-07-18,18134.6,1.2179
2021-01-25,3851.679931640625,3859.22998046875,3797.159912109375,3855.360107421875,3855.360107421875,7000840000.0,0.07,2024-07-18,2024-07-18,18089.5,1.2138
2021-01-26,3862.9599609375,3870.89990234375,3847.780029296875,3849.6201171875,3849.6201171875,6137500000.0,0.07,2024-07-18,2024-07-18,18089.5,1.2147
2021-01-27,3836.830078125,3836.830078125,3732.47998046875,3750.77001953125,3750.77001953125,9976520000.0,0.07,2024-07-18,2024-07-18,18089.5,1.2101
2021-01-28,3755.75,3830.5,3755.75,3787.3798828125,3787.3798828125,6992770000.0,0.07,2024-07-18,2024-07-18,18089.5,1.2122
2021-01-29,3778.050048828125,3778.050048828125,3694.1201171875,3714.239990234375,3714.239990234375,6643370000.0,0.07,2024-07-18,2024-07-18,18089.5,1.2135
2021-02-01,3731.169921875,3784.320068359375,3725.6201171875,3773.860107421875,3773.860107421875,5436230000.0,0.07,2024-07-18,2024-07-18,18085.9,1.207
2021-02-02,3791.840087890625,3843.090087890625,3791.840087890625,3826.31005859375,3826.31005859375,5514090000.0,0.07,2024-07-18,2024-07-18,18085.9,1.202
2021-02-03,3840.27001953125,3847.510009765625,3816.679931640625,3830.169921875,3830.169921875,4864870000.0,0.07,2024-07-18,2024-07-18,18085.9,1.2025
2021-02-04,3836.659912109375,3872.419921875,3836.659912109375,3871.739990234375,3871.739990234375,4879240000.0,0.07,2024-07-18,2024-07-18,18085.9,1.1974
2021-02-05,3878.300048828125,3894.56005859375,3874.929931640625,3886.830078125,3886.830078125,4879470000.0,0.07,2024-07-18,2024-07-18,18085.9,1.2035
2021-02-08,3892.590087890625,3915.77001953125,3892.590087890625,3915.590087890625,3915.590087890625,4648360000.0,0.07,2024-07-18,2024-07-18,18085.9,1.2045
2021-02-09,3910.489990234375,3918.35009765625,3902.639892578125,3911.22998046875,3911.22998046875,4568320000.0,0.07,2024-07-18,2024-07-18,18085.9,1.2106
2021-02-10,3920.780029296875,3931.5,3884.93994140625,3909.8798828125,3909.8798828125,4837070000.0,0.07,2024-07-18,2024-07-18,18085.9,1.2132
2021-02-11,3916.39990234375,3925.989990234375,3890.389892578125,3916.3798828125,3916.3798828125,4590960000.0,0.07,2024-07-18,2024-07-18,18085.9,1.2127
2021-02-12,3911.64990234375,3937.22998046875,3905.780029296875,3934.830078125,3934.830078125,4135060000.0,0.07,2024-07-18,2024-07-18,18085.9,1.2126
2021-02-15,3911.64990234375,3937.22998046875,3905.780029296875,3934.830078125,3934.830078125,4135060000.0,0.07,2024-07-18,2024-07-18,18085.9,.
2021-02-16,3939.610107421875,3950.429931640625,3923.85009765625,3932.590087890625,3932.590087890625,5058990000.0,0.07,2024-07-18,2024-07-18,18085.9,1.2107
2021-02-17,3918.5,3933.610107421875,3900.429931640625,3931.330078125,3931.330078125,4730650000.0,0.07,2024-07-18,2024-07-18,18085.9,1.2042
2021-02-18,3915.860107421875,3921.97998046875,3885.030029296875,3913.969970703125,3913.969970703125,4793650000.0,0.07,2024-07-18,2024-07-18,18085.9,1.2078
2021-02-19,3921.159912109375,3930.409912109375,3903.070068359375,3906.7099609375,3906.7099609375,4845320000.0,0.07,2024-07-18,2024-07-18,18085.9,1.2136
2021-02-22,3885.550048828125,3902.919921875,3874.7099609375,3876.5,3876.5,5917100000.0,0.07,2024-07-18,2024-07-18,18085.9,1.2155
2021-02-23,3857.070068359375,3895.97998046875,3805.590087890625,3881.3701171875,3881.3701171875,6296610000.0,0.07,2024-07-18,2024-07-18,18085.9,1.2142
2021-02-24,3873.7099609375,3928.64990234375,3859.60009765625,3925.429931640625,3925.429931640625,6012790000.0,0.07,2024-07-18,2024-07-18,18085.9,1.2143
2021-02-25,3915.800048828125,3925.02001953125,3814.0400390625,3829.340087890625,3829.340087890625,6547470000.0,0.07,2024-07-18,2024-07-18,18085.9,1.2229
2021-02-26,3839.659912109375,3861.080078125,3789.5400390625,3811.14990234375,3811.14990234375,6526070000.0,0.07,2024-07-18,2024-07-18,18085.9,1.2093
2021-03-01,3842.510009765625,3914.5,3842.510009765625,3901.820068359375,3901.820068359375,5114820000.0,0.07,2024-07-18,2024-07-18,18085.9,1.2054
2021-03-02,3903.639892578125,3906.409912109375,3868.570068359375,3870.2900390625,3870.2900390625,5536010000.0,0.07,2024-07-18,2024-07-18,18085.9,1.2079
2021-03-03,3863.989990234375,3874.469970703125,3818.860107421875,3819.719970703125,3819.719970703125,6173660000.0,0.07,2024-07-18,2024-07-18,18085.9,1.2073
2021-03-04,3818.530029296875,3843.669921875,3723.340087890625,3768.469970703125,3768.469970703125,7195400000.0,0.07,2024-07-18,2024-07-18,18085.9,1.2045
2021-03-05,3793.580078125,3851.68994140625,3730.18994140625,3841.93994140625,3841.93994140625,6851070000.0,0.07,2024-07-18,2024-07-18,18085.9,1.1914
2021-03-08,3844.389892578125,3881.06005859375,3819.25,3821.35009765625,3821.35009765625,5871710000.0,0.07,2024-07-18,2024-07-18,18085.9,1.1849
2021-03-09,3851.929931640625,3903.760009765625,3851.929931640625,3875.43994140625,3875.43994140625,5513560000.0,0.07,2024-07-18,2024-07-18,18085.9,1.1885
2021-03-10,3891.989990234375,3917.35009765625,3885.72998046875,3898.81005859375,3898.81005859375,5847380000.0,0.07,2024-07-18,2024-07-18,18085.9,1.19
2021-03-11,3915.5400390625,3960.27001953125,3915.5400390625,3939.340087890625,3939.340087890625,5312880000.0,0.07,2024-07-18,2024-07-18,18085.9,1.1978
2021-03-12,3924.52001953125,3944.989990234375,3915.2099609375,3943.340087890625,3943.340087890625,4476280000.0,0.07,2024-07-18,2024-07-18,18085.9,1.1952
2021-03-15,3942.9599609375,3970.080078125,3923.5400390625,3968.93994140625,3968.93994140625,4900100000.0,0.07,2024-07-18,2024-07-18,18085.9,1.1917
2021-03-16,3973.590087890625,3981.0400390625,3953.43994140625,3962.7099609375,3962.7099609375,4613080000.0,0.07,2024-07-18,2024-07-18,18085.9,1.1895
2021-03-17,3949.570068359375,3983.8701171875,3935.739990234375,3974.1201171875,3974.1201171875,4561660000.0,0.07,2024-07-18,2024-07-18,18085.9,1.1905
2021-03-18,3953.5,3969.6201171875,3910.860107421875,3915.4599609375,3915.4599609375,5118590000.0,0.07,2024-07-18,2024-07-18,18085.9,1.1926
2021-03-19,3913.139892578125,3930.1201171875,3886.75,3913.10009765625,3913.10009765625,7757420000.0,0.07,2024-07-18,2024-07-18,18085.9,1.1909
2021-03-22,3916.47998046875,3955.31005859375,3914.159912109375,3940.590087890625,3940.590087890625,4316260000.0,0.07,2024-07-18,2024-07-18,18085.9,1.1932
2021-03-23,3937.60009765625,3949.1298828125,3901.570068359375,3910.52001953125,3910.52001953125,4669010000.0,0.07,2024-07-18,2024-07-18,18085.9,1.1872
2021-03-24,3919.929931640625,3942.080078125,3889.070068359375,3889.139892578125,3889.139892578125,4783020000.0,0.07,2024-07-18,2024-07-18,18085.9,1.1831
2021-03-25,3879.340087890625,3919.5400390625,3853.5,3909.52001953125,3909.52001953125,4948340000.0,0.07,2024-07-18,2024-07-18,18085.9,1.1777
2021-03-26,3917.1201171875,3978.18994140625,3917.1201171875,3974.5400390625,3974.5400390625,5483160000.0,0.07,2024-07-18,2024-07-18,18085.9,1.1798
